PM2.5,PM10,NO2,SO2,CO,O3,Temp_C,Humidity,AQI
73.67,96.59,34.63,31.91,2.09,37.55,31.7,41.7,160.0
171.62,261.75,33.52,36.87,2.86,43.14,23.1,48.4,343.0
134.44,231.74,82.97,15.02,2.71,69.82,35.7,77.4,288.0
111.77,183.23,33.72,29.99,0.71,33.8,31.0,74.5,220.0
36.52,61.5,35.4,27.87,0.69,70.88,22.8,55.8,80.0
36.52,58.26,71.95,38.31,1.08,16.17,37.3,57.0,102.0
19.87,32.1,48.73,41.24,1.39,64.38,29.3,64.0,66.0
157.25,268.82,73.25,5.49,1.55,69.33,21.3,40.0,321.0
112.19,151.43,19.9,31.96,2.44,22.73,31.3,50.9,218.0
130.37,194.73,51.57,7.07,0.39,40.12,24.6,49.4,247.0
13.5,17.99,17.52,26.95,0.31,21.58,34.5,51.3,25.0
174.88,313.5,19.7,16.51,1.49,59.46,34.7,76.3,345.0
151.52,267.64,82.98,17.27,2.5,47.47,37.6,52.6,334.0
46.1,56.41,25.44,19.12,0.84,54.47,29.0,48.6,95.0
40.91,66.41,54.93,29.85,2.32,23.75,28.2,62.7,127.0
41.18,72.27,45.83,18.36,1.06,24.82,33.6,79.0,98.0
61.72,80.75,41.05,34.31,3.12,12.9,22.4,50.9,155.0
99.21,152.86,82.49,21.18,3.16,32.54,29.8,43.5,232.0
83.43,145.94,16.64,7.73,1.18,49.18,29.8,56.0,175.0
59.51,72.62,64.78,36.35,0.96,70.06,21.6,73.6,125.0
114.01,184.53,87.25,16.43,1.56,56.68,27.5,64.8,242.0
33.71,46.47,57.01,22.31,0.99,40.48,35.4,76.8,91.0
59.66,104.69,85.26,32.42,2.42,76.72,35.4,83.2,160.0
72.28,128.85,18.92,18.3,2.93,60.35,21.8,75.7,165.0
87.53,154.63,46.41,7.26,2.42,75.11,21.6,67.2,199.0
143.48,213.0,34.51,19.96,2.92,46.93,24.7,62.2,292.0
43.94,75.46,69.81,42.78,1.51,28.12,35.7,41.8,125.0
97.42,166.27,88.6,30.67,0.72,13.7,22.3,84.3,209.0
110.71,154.05,34.24,31.86,2.64,60.83,33.0,57.3,232.0
17.9,30.38,64.06,30.29,1.39,18.49,21.8,46.9,61.0
113.28,138.45,29.86,12.96,2.42,31.19,31.2,70.0,216.0
38.99,60.74,57.4,21.73,1.09,47.27,26.4,52.8,96.0
21.06,28.18,49.79,35.04,0.47,49.51,34.2,66.4,54.0
171.31,217.97,87.9,9.05,3.48,52.04,24.2,66.4,344.0
174.16,217.03,60.64,16.11,0.72,21.64,31.5,60.1,309.0
147.43,238.5,41.21,16.05,3.46,36.58,24.2,77.6,309.0
61.78,86.74,23.56,22.28,3.43,53.2,32.8,51.9,152.0
26.6,43.49,26.34,44.21,2.82,77.89,35.7,60.2,88.0
126.32,156.54,31.9,7.7,2.38,60.93,22.3,64.2,235.0
84.83,117.84,33.82,25.75,2.11,74.58,35.6,69.9,175.0
30.75,46.85,78.8,12.17,3.06,63.35,30.7,75.3,112.0
94.18,157.7,57.09,43.83,1.16,51.42,22.3,57.8,197.0
15.85,22.05,54.25,9.53,1.74,23.44,27.7,69.1,64.0
164.58,259.31,23.61,21.14,2.24,56.67,22.9,46.8,319.0
53.99,93.49,79.51,34.52,1.56,53.64,32.6,82.0,137.0
122.63,192.47,69.21,33.18,1.61,52.17,33.7,57.2,258.0
62.99,84.39,20.08,21.91,1.29,44.29,21.9,72.8,119.0
98.41,119.53,68.09,18.86,2.06,47.01,29.1,40.9,198.0
102.94,177.27,55.77,20.9,3.01,33.41,34.7,49.2,251.0
41.43,50.24,21.13,15.57,0.87,46.35,36.9,61.9,77.0
174.83,301.55,49.37,13.21,3.28,23.83,29.2,79.5,360.0
141.77,215.12,51.35,24.32,2.47,66.36,37.1,63.7,291.0
169.71,299.28,27.43,15.74,2.92,23.0,29.6,81.8,339.0
162.12,272.24,85.93,16.5,2.04,15.95,27.1,61.8,336.0
111.64,200.82,78.75,31.27,2.77,40.54,35.3,62.1,271.0
166.72,235.14,65.18,43.74,0.25,56.08,28.9,45.4,292.0
25.04,41.58,49.67,29.15,2.9,40.64,28.5,76.1,84.0
43.32,62.43,45.88,8.08,0.33,29.37,28.8,51.1,83.0
17.69,26.32,63.82,8.02,3.14,49.07,35.2,80.5,91.0
65.31,102.96,55.91,43.06,3.47,34.29,35.0,81.0,177.0
76.08,131.17,19.67,16.89,1.17,75.3,27.3,82.4,154.0
56.13,100.5,53.44,8.68,0.89,74.59,26.0,63.4,132.0
150.89,250.62,75.48,28.96,2.73,45.17,28.9,70.5,329.0
70.65,102.49,49.44,29.95,1.03,32.95,30.3,75.0,155.0
57.76,83.91,18.9,30.94,3.06,61.6,24.3,45.9,138.0
102.26,167.96,73.97,15.7,0.54,12.57,34.3,67.0,197.0
33.96,45.61,30.1,5.6,0.62,43.23,28.8,41.5,68.0
146.37,185.35,34.4,43.6,3.43,33.54,26.0,62.4,285.0
22.67,32.03,27.35,15.04,2.42,74.44,21.9,47.0,74.0
177.77,243.96,39.77,32.04,2.99,10.84,24.3,48.2,340.0
141.28,194.66,71.76,33.27,1.27,48.7,37.1,56.4,276.0
43.78,58.67,53.95,29.4,2.43,61.85,25.5,59.5,123.0
10.94,13.4,30.37,17.52,2.16,43.95,23.0,68.0,52.0
148.63,179.95,80.84,15.84,2.19,15.98,28.3,43.3,291.0
130.17,233.34,80.97,28.91,2.45,78.07,25.5,62.7,292.0
133.93,195.09,80.29,39.64,2.1,46.26,20.6,48.2,275.0
141.12,201.88,32.91,42.87,1.62,52.99,25.8,65.8,270.0
22.59,36.32,48.84,9.24,1.11,26.56,29.8,68.7,68.0
70.94,94.42,88.87,11.19,2.74,43.84,29.9,65.1,186.0
